Periode;MSE     ;MSN;        SMIC;PIB;TCHOFEMME
199001T;291452036;49765172;4,56;358601;9,8
199004T;299045859;50791582;4,65;359987;9,7
199007T;289871263;41628213;4,77;361178;9,6
199010T;309375209;54254715;4,77;360864;9,6
199101T;307784273;57361459;4,87;360927;9,5
199104T;314556939;61397374;4,87;363506;9,6
199107T;304253163;52542601;4,98;364829;9,9
199110T;319793697;67933823;4,98;366791;10,1
199201T;342882846;83474008;4,98;369953;10,4
199204T;363552559;91800308;5,08;369833;10,5
199207T;359144269;83974292;5,19;369341;10,6
199210T;394588358;114189742;5,19;368373;10,7
199301T;400600770;131217433;5,19;365976;10,8
199304T;418767179;141462812;5,19;366533;11
199307T;409435377;123605503;5,31;367819;11,2
199310T;440650084;155712984;5,31;368455;11,5
199401T;447655377;174647609;5,31;370267;11,7
199404T;441437301;183875976;5,31;374671;11,8
199407T;428491929;155681955;5,42;377234;11,7
199410T;462382718;193413965;5,42;380464;11,6
199501T;489403614;216806461;5,42;382136;11,5
199504T;523427528;223292826;5,42;384125;11,3
199507T;520645700;192612692;5,64;384484;11,1
199510T;585293222;240291275;5,64;385183;11,1
199601T;605481912;260742964;5,64;387525;11,5
199604T;637345199;268598257;5,75;388430;11,7
199607T;620929255;230001101;5,78;390332;11,6
199610T;693930202;275621839;5,78;390705;11,5
199701T;694078747;287305849;5,78;392319;11,6
199704T;742790029;304671539;5,78;396665;11,6
199707T;705626989;261013050;6,01;399759;11,6
199710T;781659879;311726608;6,01;403746;11,5
199801T;751853461;329873738;6,01;406916;11,4
199804T;764887013;340530509;6,01;411218;11,3
199807T;712604373;293380696;6,13;414167;11,2
199810T;789360130;351901525;6,13;417327;11,1
199901T;768634467;374176813;6,13;419697;11,2
199904T;798516683;387104993;6,13;423386;11,1
199907T;737314243;330712602;6,21;428112;10,8
199910T;811649017;384739224;6,21;433063;10,4
200001T;805609263;418605047;6,21;438440;10
200004T;819465502;420608687;6,21;441740;9,6
200007T;753394843;357327173;6,41;444580;9,3
200010T;852894172;431848140;6,41;448350;9,1
200101T;828019705;455890862;6,41;451287;8,9
200104T;840926933;466637335;6,41;451365;8,7
200107T;790393915;403942040;6,67;452743;8,6
200110T;909916229;479657562;6,67;451902;8,5
200201T;886069132;501527249;6,67;454399;8,3
200204T;948099119;514330463;6,67;457130;8,3
200207T;967415890;440123678;6,83;458384;8,4
200210T;962666621;507086588;6,83;457813;8,4
200301T;973115820;535932739;6,83;458031;8,9
200304T;993865109;552650178;6,83;457934;9,1
200307T;931578478;479008804;7,19;461232;8,7
200310T;1034468893;547084764;7,19;465281;9,2
200401T;1067822218;592221844;7,19;468116;9,6
200404T;1077103476;609885557;7,19;471645;9,2
200407T;999604537;527534953;7,61;473700;9,2
200410T;1119614196;595213414;7,61;476845;9,2
200501T;1138117412;657665029;7,61;477145;8,9
200504T;1175160266;696611328;7,61;478420;9,1
200507T;1078056429;615752751;8,03;480997;9,5
200510T;1207563118;674215197;8,03;484689;9,6
200601T;1274869883;730899523;8,03;487801;9,6
200604T;1315669773;764198031;8,03;492976;9,2
200607T;1194036510;711116738;8,27;492921;9,4
200610T;1357396855;762657331;8,27;496764;8,3
200701T;1372452813;815982378;8,27;500166;8,6
200704T;1411141703;858061527;8,27;503438;8,3
200707T;1282296764;804658469;8,44;505492;8
200710T;1451423191;840175309;8,44;506886;7,5
200801T;1458623757;895073191;8,44;509296;7,1
200804T;1514389255;955252996;8,63;506504;7,4
200807T;1359218311;899492890;8,71;504998;7,5
200810T;1510972259;928885198;8,71;497015;7,8
200901T;1498813934;987132348;8,71;489166;8,4
200904T;1547402917;1042728311;8,71;488831;8,9
200907T;1386946927;981182912;8,82;489483;9
200910T;1557260011;999149453;8,82;492744;9
201001T;1550488499;1066609307;8,86;494777;9
201004T;1601089470;1131800406;8,86;497890;9
201007T;1402601241;1058840544;8,86;500875;9
201010T;1542956482;1066922358;8,86;503498;9,3
201101T;1540968621;1143781099;9;509217;9,3
201104T;1566894011;1215427990;9;508814;9
201107T;1366413419;1129327835;9;509818;9,1
201110T;1536170025;1132933669;9;511031;9
201201T;1561970317;1216814732;9,22;511221;9
201204T;1562156390;1281360830;9,22;509747;9,4
201207T;1368826088;1192042492;9,4;511203;9,3
201210T;1535339441;1177629924;9,4;511093;9,6
201301T;1467030860;1240927604;9,43;511739;9,8
201304T;1504732518;1313660619;9,43;515557;9,8
201307T;1320709985;1210118937;9,43;515130;9,7
201310T;1455651199;1178631254;9,43;516086;9,7
201401T;1427508059;1246597697;9,53;515136;9,4
201404T;1449600770;1321287903;9,53;514433;9,5
201407T;1278495854;1212055737;9,53;515970;9,8
201410T;1424472518;1175504043;9,53;516496;9,7
201501T;1389621045;1245486904;9,61;519995;9,6
201504T;1427911207;1326899795;9,61;519973;9,4
