Annee;Pluie-JA;TempMay;Pluie-Juin;TempJuin;Pluie-Juillet;TempJuillet;Pluie-Aout;TempAout;Rendement
A1930;17,75;60,2;5,83;69;1,89;77,9;2,42;74,4;34
A1931;14,76;57,5;3,83;75;2,72;77,2;3,3;72,6;40
A1932;27,99;62,3;5,17;72;3,12;75,8;7,1;72,2;45
A1933;16,76;60,5;1,64;77,8;3,25;76,1;3,01;70,5;44
A1934;11,36;69,5;3,49;77,2;4,85;79,7;2,84;73,4;30
A1935;22,71;55;7;65,9;2,35;79,4;2,42;73,6;38,4
A1936;17,91;66,2;2,85;70,1;0,81;83,4;3,48;79,2;25
A1937;23,31;61,8;3,8;69;2,63;75,9;3,99;77,8;44,5
A1938;18,53;59,5;4,67;69,2;3,24;76,5;3,82;75,7;48,3
A1939;18,56;66,4;5,32;71,4;3,15;76,2;4,72;70,7;52,2
A1940;12,45;58,4;3,56;71,3;3,57;76,7;6,44;70,7;52,3
A1941;16,05;66;6,2;70;3,24;75,1;1,94;75,1;51
A1942;27,1;59,3;5,93;69,7;4,89;74,3;3,17;72,2;59,9
A1943;19,05;57,5;6,16;71,6;3,56;75,4;5,07;74;54,7
A1944;20,79;64,6;5,88;71,7;3,73;72,6;5,88;71,8;52
A1945;21,88;55,1;4,7;64,1;2,96;72,1;3,43;72,5;46,5
A1946;20,02;56,5;6,41;69,8;3,45;73,8;3,56;68,9;53,7
A1947;23,17;55,6;10,39;66,3;5,72;76,8;1,49;80,6;40,5
A1948;19,15;59,2;3,42;68,6;4,14;75;2,54;73,9;58,5
A1949;18,28;63,5;5,51;72,4;3,47;76,2;2,34;73;46,1
A1950;18,45;59,8;5,7;68,4;3,65;69,7;2,39;67,7;50,2
A1951;22;62,2;6,11;65,2;3,45;72,1;6,21;70,5;48,1
A1952;19,05;59,6;5,4;74,2;3,84;74,7;4,78;70;55,2
A1953;15,67;60;5,31;73,2;3,28;74,6;2,33;73,2;52,9
A1954;15,92;55,6;6,36;72,9;2,79;77,4;7,1;72,1;50,9
A1955;16,75;63,6;3,07;67,2;3,29;75,8;1,79;77,2;48,4
A1956;12,34;62,4;2,56;74,7;4,51;72,7;4,42;73;52,8
A1957;15,82;59;4,84;68,9;3,54;77,9;3,76;72,9;56,1
A1958;15,24;62,5;3,8;66,4;5,55;70,5;2,55;73;60
A1959;21,72;62,8;4,11;71,5;3,29;72,3;4,92;76,3;62,2
A1960;25,08;59,7;4,43;67,4;5,76;72,6;5,36;73,2;60,2
A1961;17,79;57,4;3,36;69,4;5,51;72,6;3,04;72,4;65,4
A1962;26,61;66,6;3,12;69,1;6,27;71,6;4,31;72,5;66
