Identifiant de l'accident;Date et heure;Commune;Année;Mois;Jour;Heure minute;Lumière;Localisation;Intersection;Conditions atmosphériques;Collision;Département;Code commune;Code Insee;Adresse;Latitude;Longitude;Code Postal;Numéro;Coordonnées;PR;Surface;V1;Circulation;Voie réservée;Env1;Voie;Largeur de la chaussée;V2;Largeur terre plein central;Nombre de voies;Catégorie route;PR1;Plan;Profil;Infrastructure;Situation;Année de naissance;Sexe;Action piéton;Gravité;Existence équipement de sécurité;Utilisation équipement de sécurité;Localisation du piéton;Identifiant véhicule;Place;Catégorie d'usager;Piéton seul ou non;Motif trajet;Point de choc;Manœuvre;Sens;Obstacle mobile heurté;Obstacle fixe heurté;Catégorie véhicule;Nombre d'occupants;Gps
201500024826;2015-04-29T17:43:00+02:00;Rennes;15;04;29;17:43;Plein jour;Hors agglomération;Hors intersection;Normale;Trois véhicules et plus – en chaîne;35;238;35238;RN 137;4808970;-168563;35000;137;48.100043, -1.669884;12;mouillée;;A chaussées séparées;Voie réservée;99;2;0;;0;3;Route Départementale;900;Partie rectiligne;Plat;;Sur chaussée;1993,1981,1979,1995;Masculin,Masculin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Indemne,Indemne,Blessé;Ceinture,Ceinture,Ceinture,Ceinture;Oui,Oui,Oui,Oui;;A01,C01,B01;1,1,1,2;Conducteur,Conducteur,Conducteur,Passager;;Domicile – travail,Promenade – loisirs,Utilisation professionnelle,Promenade – loisirs;Avant droit,Avant droit;Déporté A droite,Sans changement de direction,Sans changement de direction;;Véhicule,Véhicule,Véhicule;;VU seul 1,VL seul,VL seul;;Métropole
201500024866;2015-06-05T12:45:00+02:00;Rennes;15;06;05;12:45;Plein jour;En agglomération;Hors intersection;Normale;Deux véhicules – par l’arrière;35;238;35238;199, VERN (DE);4808873;-164466;35000;199;48.088783, -1.644572;;normale;;;;00;0;0;;0;0;Voie Communale;;Partie rectiligne;Plat;;;1979,1969;Féminin,Féminin;Se déplaçant,Se déplaçant;Blessé,Indemne;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;;Avant,Arrière;Sans changement de direction,Sans changement de direction;;Véhicule;;VL seul,VL seul;;Métropole
201500024891;2015-06-17T18:30:00+02:00;Rennes;15;06;17;18:30;Plein jour;En agglomération;Intersection en X;Normale;Deux véhicules – par le coté;35;238;35238;00, ANTRAIN (D') DE 0 A;4811822;-167633;35000;00;48.118818, -1.674864;;;;Bidirectionnelle;;00;0;0;;0;2;Voie Communale;;;;;Sur chaussée;1981,1993;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Casque,Casque;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Domicile – travail,Utilisation professionnelle;Côté droit,Avant;Sans changement de direction;;Véhicule,Véhicule;;Scooter < 50 cm3,Bicyclette;;Métropole
201500024893;2015-03-30T00:40:00+02:00;Rennes;15;03;30;00:40;Nuit avec éclairage public allumé;En agglomération;Intersection à plus de 4 branches;Pluie légère;Autre collision;35;238;35238;CARREFOUR NITSCH;4810180;-168441;35000;;48.10189, -1.683568;;mouillée;;Bidirectionnelle;Voie réservée;99;;70;;40;2;Voie Communale;;En courbe à droite;Sommet de côte;Pont - autopont;Sur chaussée;1992;Féminin;Se déplaçant;Blessé;Ceinture;Non;;A01;1;Conducteur;;Promenade – loisirs;Avant;Sans changement de direction;;;Bâtiment;VL seul;;Métropole
201500024900;2015-06-23T17:50:00+02:00;Saint-gregoire;15;06;23;17:50;Plein jour;Hors agglomération;Hors intersection;Normale;Deux véhicules – par l’arrière;35;278;35278;RD 137;4814722;-169903;35760;137;48.1594, -1.690674;52;normale;;A chaussées séparées;;99;137;0;;0;0;Route Départementale;750;Partie rectiligne;Plat;;Sur chaussée;1955,1971;Féminin,Féminin;Se déplaçant,Se déplaçant;Blessé,Blessé;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Autre;Avant,Arrière;Même sens,Même sens;;Véhicule,Véhicule;;VL seul,VL seul;;Métropole
201500024926;2015-07-09T13:45:00+02:00;Chantepie;15;07;09;13:45;Plein jour;En agglomération;Giratoire;Normale;Deux véhicules – par l’arrière;35;055;35055;00, PARC (RUE DU);4808807;-160834;35135;00;48.088164, -1.611704;12;normale;;Bidirectionnelle;;99;286;0;;0;2;Route Départementale;654;Partie rectiligne;Plat;Carrefour aménagé;Sur chaussée;2004,1989;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Casque,Ceinture;Non,Oui;;B01,A01;1,1;Conducteur,Conducteur;;Promenade – loisirs,Domicile – travail;Arrière gauche,Avant;Sans changement de direction;;Véhicule,Véhicule;;Bicyclette,VL seul;;Métropole
201500024940;2015-07-23T10:50:00+02:00;Chantepie;15;07;23;10:50;Plein jour;Hors agglomération;Giratoire;Normale;Deux véhicules – par le coté;35;055;35055;00, LA HALLERAIS (LIEU D;4807782;-163225;35135;00;48.073032, -1.629663;33;normale;;A chaussées séparées;;99;163;0;;0;2;Route Départementale;95;Partie rectiligne;Plat;Carrefour aménagé;Sur chaussée;1991,1976;Masculin,Féminin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Utilisation professionnelle,Promenade – loisirs;Avant droit,Arrière gauche;Déporté A droite,Tournant A gauche;;Véhicule,Véhicule;;Tracteur routier + semi-remorque,VL seul;;Métropole
201500025087;2015-11-06T16:50:00+01:00;Rennes;15;11;06;16:50;Plein jour;En agglomération;Intersection en X;Normale;Deux véhicules - frontale;35;238;35238;00, CHATEAUGIRON (DE);4809488;-163795;35000;00;48.099655, -1.649027;;normale;;Bidirectionnelle;Banque cyclable;99;0;0;;0;2;Voie Communale;;Partie rectiligne;Plat;Carrefour aménagé;Sur chaussée;1997,1987;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Ceinture,Ceinture;Oui,Oui;;B01,A01;1,1;Conducteur,Conducteur;;;Avant;Sans changement de direction;;Véhicule,Véhicule;;VL seul,VL seul;;Métropole
201500025131;2015-12-04T04:10:00+01:00;Cesson-sevigne;15;12;04;04:10;Nuit sans éclairage public;Hors agglomération;Hors intersection;Pluie légère;Sans collision;35;051;35051;NORMANDIE (PORTE DE);4814823;-159696;35510;;48.140179, -1.598291;96;mouillée;;A chaussées séparées;;99;84;0;;0;0;Autoroute;600;En courbe à droite;Plat;Bretelle d’échangeur ou de raccordement;Sur chaussée;1985;Masculin;Se déplaçant;Blessé;Ceinture;Oui;;A01;1;Conducteur;;Autre;Chocs multiples (tonneaux);Sans changement de direction;;;Sortie de chaussée sans obstacle;VL seul;;Métropole
201500025140;2015-11-30T17:00:00+01:00;Rennes;15;11;30;17:00;Plein jour;Hors agglomération;Hors intersection;Normale;Trois véhicules et plus - collisions multiples;35;238;35238;00, PORTE DES LOGES;4808956;-163142;35000;00;48.108853, -1.670052;5;normale;;A chaussées séparées;Voie réservée;99;136;0;;0;2;Route Nationale;550;Partie rectiligne;Plat;Bretelle d’échangeur ou de raccordement;Sur chaussée;1978,1976,1957;Masculin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant;Indemne,Blessé,Indemne;Ceinture,Ceinture,Ceinture;Oui,Oui,Oui;;A01,B01,C01;1,1,1;Conducteur,Conducteur,Conducteur;;Utilisation professionnelle;Arrière;Changeant de file A droite;;Véhicule,Véhicule,Véhicule;Glissière métallique;PL > 3,VL seul,VL seul;;Métropole
