Produit;Type of Food (100g);Energy (Kcal);Protein (g);Fat (g);Water (g);Vitamin A (mg);Vitamin B1 (mg);Vitamin B2 (mg);Vitamin C;
P1;All-Bran;250;13;2,5;5;0;1;1,5;0;
P2;Almonds;560;17;54;5;0;0,2;1;0;
P3;Apples;35;0,2;0;65;0;0,03;0;2;
P4;Apricots;30;0,6;0;87;250;0,04;0,05;10;
P5;Apricots, dried, raw;180;4;0;15;580;0;0,2;0;
P6;Artichokes, globe, boiled;15;1;0;84;0;0,03;0;10;
P7;Artichokes, Jerusalem;20;1,5;0;80;0;0,1;0;2;
P8;Asparagus, boiled;10;1,7;0;46;50;0,05;0,04;10;
P9;Aubergine, raw;15;0,7;0;93;0;0,05;0,03;5;
P10;Avocados;220;4;20;70;15;0,1;0,1;15;
P11;Bacon rashers, streaky, fried;500;23;45;27;0;0,4;0,2;0;
P12;Bacon rashers, streaky, grilled;400;25;36;34;0;0,4;0,16;0;
P13;Bacon rashers, streaky, raw;400;15;40;41;0;0,4;0,15;0;
P14;Bacon, collar joint;320;15;29;51;0;0,4;0,2;0;
P15;Bacon, collar joint, boiled;330;20;27;49;0;0,3;0,2;0;
P16;Bacon, gammon joint raw;240;18;18;60;0;0,6;0,2;0;
P17;Bacon, gammon joint, boiled;270;25;19;53;0;0,4;0,15;0;
P18;Bacon, gammon rashers;230;30;12;52;0;0,9;0,25;0;
P19;Bananas;80;1;0,3;70;200;0,04;0,07;10;
P20;Barcelona nuts;640;11;64;5;0;0,1;0,1;0;
P21;Barley, pearl, boiled;120;2,7;0,5;70;0;0;0;0;
P22;Barley, pearl, raw;360;8;1,7;10,5;0;0,1;0,05;0;
P23;Bean sprouts, canned;10;1,6;0;95;0;0;0,03;0;
P24;Beans, baked, canned;65;5;0,5;74;0;0,07;0,05;0;
P25;Beans, broad, boiled;50;4;0,6;84;40;0,1;0,04;15;
P26;Beans, butter, boiled;100;7;0,3;71;0;0,1;0;0;
P27;Beans, butter, raw;270;19;1;12;0;0,5;0,1;0;
P28;Beans, French, boiled;7;0,8;0;96;80;0,04;0,07;5;
P29;Beans, haricot, boiled;90;6,6;0,5;70;0;0,2;0,05;0;
P30;Beans, haricot, raw;270;21;1,5;11;0;0,45;0,13;0;
P31;Beans, mung, cooked;100;6;4;73;0;0,1;0,04;0;
P32;Beans, mung, green, raw;230;22;1;12;0;0,45;0,2;0;
P33;Beans, runner, boiled;20;2;0,2;91;60;0,03;0,07;5;
P34;Beans, runner, raw;25;2,3;0,2;89;70;0,05;0,1;20;
P35;Beans, red kidney, raw;270;22;1,7;11;0;0,5;0,2;0;
P36;Beef steak, stewing, raw;180;20;10;69;0;0,06;0,23;0;
P37;Beef steak, stewing, stewed;220;30;11;57;0;0,03;0,33;0;
