ident;sexe;âge;CSP;type-cylindrée;type-utilisation;critère-esthétique;note-satisfaction;imp-magasin;imp-marque;imp-esthétique;imp-prix;imp-confort-pilote;imp-confort-passager;imp-dimensions;imp-freinage;imp-cylindrée;imp-antivol;imp-tableau-de-bord;imp-accessoires;imp-rangement;imp-propulsion;imp-refroidissement;imp-tablier-avant;imp-feux;imp-fiabilité-moteur
001;femme;25-29 ans;employé;125;domicile-travail;à la mode;8;5;3;5;4;5;4;4;3;4;5;4;5;4;3;3;3;4;4
002;homme;30-39 ans;classe moyenne;150-200;domicile-travail;innovant nouveau;10;4;4;5;3;4;4;4;4;5;2;3;5;5;5;5;4;5;5
003;homme;25-29 ans;employé;150-200;domicile-travail;sportif;8;2;4;5;4;4;4;3;4;4;3;2;2;4;5;3;1;4;5
004;homme;30-39 ans;ouvrier;125;domicile-travail;innovant nouveau;8;4;4;4;4;3;2;4;5;4;2;2;4;4;3;2;2;3;4
005;homme;40-49 ans;classe moyenne;250-400;domicile-travail;innovant nouveau;9;3;3;4;4;4;2;3;4;5;3;4;4;4;5;5;5;5;5
006;homme;30-39 ans;classe supérieure moyenne;250-400;domicile-travail;discret / sobre;9;5;3;4;3;4;4;4;5;4;4;3;3;4;4;4;5;5;5
007;homme;25-29 ans;classe moyenne;250-400;domicile-travail;sportif;7;3;3;5;5;5;4;3;5;4;3;3;3;3;5;5;5;5;4
008;homme;25-29 ans;employé;150-200;domicile-travail;classique;9;1;5;5;3;5;3;3;5;4;5;4;3;3;3;2;4;5;5
009;femme;30-39 ans;employé;150-200;domicile-travail;classique;9;2;4;5;4;4;4;5;1;4;1;3;3;3;3;3;3;3;5
010;homme;50 et +;classe supérieure moyenne;250-400;domicile-travail;innovant nouveau;9;3;4;4;5;5;3;5;5;5;3;4;3;3;5;5;3;3;5
011;homme;50 et +;classe supérieure moyenne;150-200;domicile-travail;classique;8;4;3;3;4;4;4;3;3;4;3;3;3;4;3;3;3;4;5
012;homme;25-29 ans;employé;150-200;domicile-travail;innovant nouveau;7;3;4;3;4;5;4;4;4;4;3;3;3;3;4;4;3;4;5
013;homme;20-24 ans;employé;125;domicile-travail;sportif;8;2;5;4;5;4;2;4;5;5;1;4;3;3;5;5;3;3;5
014;homme;18-19 ans;inactif;125;personnels et loisirs;innovant nouveau;10;4;5;4;3;5;5;4;4;4;2;3;3;3;4;4;2;4;5
015;homme;40-49 ans;classe supérieure moyenne;250-400;personnels et loisirs;innovant nouveau;10;1;4;4;4;5;5;5;5;5;4;4;3;5;5;5;4;4;5
016;femme;30-39 ans;employé;125;domicile-travail;classique;10;5;4;4;4;5;5;4;3;4;1;3;3;3;3;3;2;3;5
017;femme;25-29 ans;employé;125;domicile-travail;classique;10;4;4;4;4;5;4;3;2;3;2;3;3;3;3;3;3;4;4
018;homme;30-39 ans;classe supérieure moyenne;150-200;domicile-travail;innovant nouveau;10;2;5;5;5;4;2;4;5;5;2;4;4;3;5;5;4;3;5
019;homme;50 et +;classe supérieure moyenne;250-400;personnels et loisirs;classique;10;4;4;4;3;5;5;4;4;3;2;1;2;4;4;4;3;4;5
020;homme;50 et +;classe supérieure moyenne;250-400;domicile-travail;classique;9;3;4;4;2;5;4;4;5;5;3;4;4;5;5;5;3;4;4
021;homme;50 et +;employé;150-200;domicile-travail;classique;9;4;4;2;4;5;2;3;3;3;3;2;2;3;3;3;3;4;5
022;homme;40-49 ans;employé;150-200;domicile-travail;classique;7;3;2;2;4;4;4;3;3;3;1;2;3;3;3;3;3;3;4
023;homme;25-29 ans;employé;150-200;domicile-travail;innovant nouveau;8;5;5;3;4;5;3;3;4;3;3;3;3;3;3;3;2;3;4
024;homme;18-19 ans;inactif;125;personnels et loisirs;classique;8;2;4;4;3;4;4;4;5;4;2;3;3;3;3;3;2;3;4
025;femme;30-39 ans;employé;250-400;domicile-travail;sportif;10;2;3;3;3;5;4;2;4;3;1;2;3;3;3;3;2;4;5
026;homme;50 et +;classe supérieure;250-400;domicile-travail;classique;10;3;5;4;3;5;4;4;3;3;3;3;3;3;3;4;3;4;5
027;homme;30-39 ans;classe supérieure;150-200;domicile-travail;innovant nouveau;9;4;5;3;1;5;5;4;4;4;3;3;3;3;4;4;2;3;4
028;homme;25-29 ans;classe moyenne;125;personnels et loisirs;innovant nouveau;5;4;4;4;5;4;2;2;4;4;1;2;2;3;3;3;2;4;4
