Identifiant|Montant|Duree|Telephone|Taux_interet|Ressources_Client|Charges_Client|Nb_emprunteurs|Assurance|Client|Payeur
   1|15000|48|0|7.26|3152.47|1313.459999|1|1|0|0
   2|6000|60|1|8.82|1826|379|2|1|0|0
   3|4000|60|1|8.52|2443|810|2|0|1|0
   4|12000|60|1|8.82|2959|578|2|1|1|0
   5|6000|12|1|3.42|6817.74|1660|1|0|1|0
   6|6000|24|1|7.32|2767|600|2|0|1|0
   7|7000|24|1|8.22|1942|814.75|1|1|0|0
   8|17000|48|0|7.26|1892.84|1041.646664|1|0|0|0
   9|10000|48|1|8.52|1661.83|695.5833321|2|1|0|0
  10|7000|60|1|8.52|2276.85|726.0199986|2|1|0|0
  11|10500|48|0|8.52|2364.12|641|2|1|1|0
  12|4000|36|0|8.52|1192.15|60|1|1|1|0
  13|6000|60|0|8.82|1497.34|580|1|0|0|0
  15|5000|48|1|7.74|3198.26|296.6499996|1|0|1|0
  16|21500|60|0|8.16|3093.85|348.8399992|2|0|0|0
  18|11000|60|0|8.16|1753.34|1031.5|1|1|0|0
  19|12000|72|1|8.52|6763.11|3061|2|0|0|0
  20|8500|60|0|8.52|2137.57|527|2|0|1|0
  21|6000|36|0|6.72|1800|740|1|1|0|1
  22|7000|48|1|8.82|3316.84|630|2|0|0|0
  23|10000|24|1|5.76|3767|1500|1|0|1|0
  24|8500|36|1|6.72|1780.08|450|1|0|1|0
  25|6000|48|0|8.16|1231.52|400|1|0|0|0
  26|8000|36|0|6.72|5398.7|1650|1|0|1|0
  27|6000|12|1|3.42|4785.36|1200|2|0|0|0
  28|5500|60|1|8.82|1334.12|541|1|0|1|0
  29|4000|48|0|8.82|1268.2|370|1|1|1|0
  30|4000|12|1|3.78|3170.35|1058.57|2|0|1|0
  31|13000|60|1|8.16|2046|550|2|1|1|0
  32|21500|72|1|7.68|4016.66|1155|2|0|1|0
  33|11000|60|1|8.52|6510|1852.149998|2|0|1|0
  34|7000|48|1|8.16|1325.02|281|1|1|0|0
  35|3000|36|0|8.82|2756.19|767.5799999|2|1|1|0
  36|8000|36|0|6.72|3389.75|1089|2|1|0|1
  37|4000|48|1|8.82|2693|620|1|0|0|0
  38|5000|36|0|6.72|1346|356|1|0|0|1
  39|11000|12|1|3.42|5217|1500|2|0|1|0
  40|5000|60|1|8.16|1086.14|30|1|1|0|0
  41|4500|36|1|8.82|2747|892|2|1|1|0
  43|10000|36|1|6.72|2460.11|1012|2|1|0|0
  44|15500|60|1|8.16|1684.33|423.7999992|2|0|0|0
  45|4000|60|1|8.82|1877|30|1|1|1|0
  46|6000|48|1|8.82|1657.5|520|1|0|1|0
  48|6000|60|1|8.82|3700|461|2|1|1|0
  49|6000|12|1|3.42|1870.08|400|1|0|1|0
  50|4000|36|1|8.82|1771|850|2|1|0|0
  51|15000|60|1|8.16|2447.58|997.3999996|2|0|0|0
  52|8000|12|1|3.42|1613.08|500|1|0|1|0
